UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Nadia Sha,@NadiaSha2,2023-04-04T08:14:27.000Z,"Nadia Sha
@NadiaSha2
·
Apr 4",Congratulations New Dunia ,🅿 💧 😛 😛 😛 😛 😛 😛 😛 😛 👇 👇 👇 👇 👇 👇 👇 👇,,,,['https://pbs.twimg.com/media/Fs2x9kWaMAIYY_6?format=jpg&name=small'],https://twitter.com/NadiaSha2/status/1643165118526529537
Musa Rudy S,@MusaRudy_Stpl,2023-04-04T05:42:45.000Z,"Musa Rudy S
@MusaRudy_Stpl
·
Apr 4","Penggiat sepakbola menyakini Ketua Umum PSSI 
@erickthohir
 akan mampu membenahi sepakbola tanah air pasca batalnya Indonesia jadi tuan rumah Piala Dunia U20...

#GueBarengErickThohir",,4,23,25,['https://pbs.twimg.com/media/Fs2PPMeaAAAOw3o?format=jpg&name=900x900'],https://twitter.com/MusaRudy_Stpl/status/1643126940306640896
Chaterine,@chaterine_8,2023-04-04T20:18:35.000Z,"Chaterine
@chaterine_8
·
Apr 4","Sekjen MES menyatakan pengalaman di dunia sepakbola internasional dgn koneksi yg luas akan sangat berfaedah bagi 
@erickthohir
 utk menjadi obor penerang sepakbola tanah air 

#GueBarengErickThohir",,2,20,24,['https://pbs.twimg.com/media/Fs5XtdUaIAAtaK2?format=jpg&name=900x900'],https://twitter.com/chaterine_8/status/1643347354949668864
Ayubu Madenge,@ayubu_madenge,2023-04-06T13:17:40.000Z,"Ayubu Madenge
@ayubu_madenge
·
Apr 6","Simba sio timu dhaifu wala Simba siyo timu ya watu Waoga. Simba ni ya wenye Mioyo migumu, majasiri na Wapambanaji. Haijalishi tunakabiliana na adui gani, tutaingia Uwanjani kupambana na kupata matokeo Mazuri. Walete Wydad, Waleta hao Mabingwa wenzetu tupambane. #NguvuMoja",,37,34,596,['https://pbs.twimg.com/media/FtCKiLMakAIXVTm?format=jpg&name=small'],https://twitter.com/ayubu_madenge/status/1643966200073027585
Hazeem Mahayadin,@Hazeemmahayadin,2023-04-04T14:00:16.000Z,"Hazeem Mahayadin
@Hazeemmahayadin
·
Apr 4","Dalam buku Deep Work, Carl newport menyatakan ada 2 core abilities yang perlu kita master untuk berjaya dalam dunia sekarang.

1. Ability untuk faham perkara yg susah dgn cepat.

2. Hasilkan kerja yang kualiti.",,1,20,74,['https://pbs.twimg.com/media/Fs4BHm3XsAIa2n0?format=jpg&name=small'],https://twitter.com/Hazeemmahayadin/status/1643252148120035328
Eric,@eriquekim1,2023-04-04T16:16:45.000Z,"Eric
@eriquekim1
·
Apr 4","After calling off the demonstrations on monday, watu wamebaki na dead stock",🔴 ⚪ 😀 😀,,,,['https://pbs.twimg.com/media/Fs4gWyiWcAMSUNY?format=jpg&name=small'],https://twitter.com/eriquekim1/status/1643286492679139328
jambronk elitz,@okijogjezz,2023-04-04T02:54:34.000Z,"jambronk elitz
@okijogjezz
·
Apr 4","Perjuangan Ketum PSSI 
@erickthohir
 belumlah berakhir
 memperjuangkan 6 venue agar lolos verifikasi FIFA
 Memperjuang agar Indonesia tetap menjadi Tuan Rumah piala dunia u-20
Kini Beliau kembali harus berjuang agar tak mendapatkan sanksi berat FIFA 

#GueBarengErickThohir",⏩ ⏩,1,15,20,['https://pbs.twimg.com/media/Fs1owGDaMAIcA63?format=jpg&name=900x900'],https://twitter.com/okijogjezz/status/1643084617115897856
JVGUVR_LEG3ND,@Jaguar_Leg3nd,2023-04-12T09:49:38.000Z,"JVGUVR_LEG3ND
@Jaguar_Leg3nd
·
21h","Kahawa kali zaidi Duniani, inayojulikana kama Death wish coffee, ina kafeini (caffeine) zaidi ya 200% kuliko wastani wa kikombe cha kahawa.Hii haishauriwi kutumiwa na  watu wanaotaka kulala katika siku 3 zijazo.

Huu ni mbadala wa wanaotumia pombe kupunguza mawazo  
@IRwabyoma",🐅 😂,3,7,67,['https://pbs.twimg.com/media/FtgUdgOaEAIn-sm?format=jpg&name=small'],https://twitter.com/Jaguar_Leg3nd/status/1646088175545372672
Alexander,@AlesandroJR,2023-04-07T09:24:38.000Z,"Alexander
@AlesandroJR
·
Apr 7","Huko njiani we Maria,
Waonaje hali ya mwanao,
Ni damu tupu na vidonda,
Machozi, machozi yafumba macho.

KITUO CHA IV.

•Ee Masiha tunakuabudu tunakushukuru, Kwani umewakomboa watu kwa Msalaba wako Mtakatifu.

Wote wawili mama na mwanawe wanaumia moyoni kwa ajili ya dhambi zangu.…",,1,8,83,['https://pbs.twimg.com/media/FtGeywfWwAAzz6-?format=jpg&name=small'],https://twitter.com/AlesandroJR/status/1644269945029623808
Jasontrevor,@Jasontrevor11,2023-04-10T08:07:35.000Z,"Jasontrevor
@Jasontrevor11
·
Apr 10",Cna shida na yeyote atakae chukua epl Kat y arsenal n city ila napoon watu wana take side ya city napata mshangao..First city ni direct rival wetu na pia ana nafac kubwa ya kuvunja record zetu kuliko Tim yoyote pale Epl...Thoughts,🤔,14,4,34,['https://pbs.twimg.com/media/FtVp7JcWcAAmrWX?format=jpg&name=small'],https://twitter.com/Jasontrevor11/status/1645337717683675137
Riyaldi umar,@heryawan_g,2023-04-04T06:17:35.000Z,"Riyaldi umar
@heryawan_g
·
Apr 4","Bapak Ketua Umum PSSI 
@erickthohir
 ingin Fokus melobi FIFA agar Indonesia Tidak Dijerat Sanksi,tidak ingin berfikir terlalu jauh soal bidding tuan rumah Piala Dunia U-20.
#GueBarengErickThohir",,1,6,8,['https://pbs.twimg.com/media/Fs2XNluagAA5iNx?format=jpg&name=900x900'],https://twitter.com/heryawan_g/status/1643135709967163392
Abbynfam,@DM_N4BYL,2023-04-04T03:48:04.000Z,"Abbynfam
@DM_N4BYL
·
Apr 4","Menurut Iggi Achsien Sekjen Masyarakat Ekonomi Syariah
Mas ketum PSSI Erick Thohir memiliki sumber daya network & pengetahuan seputar dunia olahraga sehingga diyakini memiliki kemampuan menyelesaikan problematika permasalahan sepakbola Tanahair 
@erickthohir
#GueBarengErickThohir",,1,23,26,['https://pbs.twimg.com/media/Fs10_WlaIAEhJGD?format=jpg&name=900x900'],https://twitter.com/DM_N4BYL/status/1643098079959339009
Bitcoin for Fairness,@BFFbtc,2023-04-04T14:04:30.000Z,"Bitcoin for Fairness
@BFFbtc
·
Apr 4","Bitcoin pesa ya watu!

Now you can find our updated #Bitcoin flyer in #Swahili on our website thanks to 
@btc_dada
!

https://bffbtc.org/flyer",,,4,7,"['https://pbs.twimg.com/media/Fs3-kROXsAAUb2i?format=jpg&name=small', 'https://pbs.twimg.com/media/Fs3-qeuWcAEnbp9?format=jpg&name=small']",https://twitter.com/BFFbtc/status/1643253210767929344
Handsome boy CBE,@Hb_cbe_2020,2023-04-09T12:41:05.000Z,"Handsome boy CBE
@Hb_cbe_2020
·
Apr 9","CHADEMA MNAFANYA NCHI NGUMU SANA 
Wanasiasa na Watu makini wako busy kujadili report ya CAG kwa uchungu, nyie mko busy kutumbua hela za SIEJII na wapigaji
Mkiambiwa nyie sio wapinzani ni wapiga duli wenza wa WATAWALA muelewe
Hongera 
@ACT_wazalendo1
Kwa kuja na suluhisho",👉 👉 👉,13,13,18,"['https://pbs.twimg.com/media/FtRe5RpXgAIU-Bj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FtRe5pbXsAQIcM1?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FtRe6maX0AAgpCo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FtRe8bfXwAEVd4z?format=jpg&name=360x360']",https://twitter.com/Hb_cbe_2020/status/1645044160431267842
Ohinga,@anmanaan,2023-04-12T07:05:43.000Z,"Ohinga
@anmanaan
·
Apr 12",Ama Riggy G ni distraction hao watu wengine wakiloot?,,,,1,['https://pbs.twimg.com/media/Ftfu9CIWYAADw-k?format=jpg&name=small'],https://twitter.com/anmanaan/status/1646046923281903616
Edison Myinga,@EdisonMyinga1,2023-04-12T06:49:21.000Z,"Edison Myinga
@EdisonMyinga1
·
Apr 12","“Lengo la plea barganing ni kurahisisha kazi katika utekelezaji wa mahakama, kwa kuwa hatuna mahakama huru watu walilazimika kufanya hivyo ili wapate uhuru, tupate #KatibaMpya itayoleta serikali isiyo na mabavu 
@Oleshangay
 #KatibaMpya #WenyeNchiWananchi http://youtube.com/live/6svRwGLn1…",,,9,2,['https://pbs.twimg.com/media/FtfrNBTWYAEIW90?format=jpg&name=small'],https://twitter.com/EdisonMyinga1/status/1646042804597010432
Juicy TREATS,@JuicyTreatsKE,2023-04-04T11:31:21.000Z,"Juicy TREATS
@JuicyTreatsKE
·
Apr 4","Mabuyu ndio baobab. Watu wamezoea kumumunya the red & green ones. Those have sugar & food color. We take the shell straight from the tree, crush to harvest powdery covered seeds in a machine and shake off the powder using sugarcane water. Good prebiotic.
Tamarind is ukwaju",😊 👑,1,,1,"['https://pbs.twimg.com/media/Fs3fBy-XsAEh9uy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fs3fB_zWAAUDtVP?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1645104135430086657/qA7ASjoc_mini.jpg']",https://twitter.com/JuicyTreatsKE/status/1643214668956090372
wxss,@its_wxssim,2023-04-04T20:13:56.000Z,"wxss
@its_wxssim
·
Apr 4",Dunia Batma’s new face for the week,🥰,,,4,['https://pbs.twimg.com/media/Fs5WnpeWwAAafX_?format=jpg&name=small'],https://twitter.com/its_wxssim/status/1643346181773316098
Hitam_Manis,@enop_ancha,2023-04-04T07:59:54.000Z,"Hitam_Manis
@enop_ancha
·
Apr 4","Ketua Umum PSSI Bapak Erick Thohir ingin Fokus melobi FIFA agar Indonesia tidak dijerat sanksi. 
Enggan berfikir terlalu jauh soal bidding tuan rumah Piala Dunia 2034.
@erickthohir
 
#GueBarengErickThohir",,3,17,24,['https://pbs.twimg.com/media/Fs2uobsaUAIBBkj?format=jpg&name=900x900'],https://twitter.com/enop_ancha/status/1643161459181105152
NTV Kenya,@ntvkenya,2023-04-04T17:28:17.000Z,"NTV Kenya
@ntvkenya
·
Apr 4","Buckle up, Nation FM and NTV are coming your way in just 3 days with an epic road show that'll blow your mind! 

Get ready to experience the ultimate road trip ...Watu wa Thika ,Embu,Chuka, Meru..we are coming! #TwendeMeru",,,6,26,['https://pbs.twimg.com/media/Fs4wuxeWYAEOgM4?format=jpg&name=small'],https://twitter.com/ntvkenya/status/1643304495617564675
Dwiyana,@miicies,2023-04-04T08:31:15.000Z,"Dwiyana
@miicies
·
Apr 4","Bos Kalteng Putra, Agustiar Sabran yakin 
@erickthohir
 sebagai Ketua Umum PSSI tidak akan tinggal diam usai Indonesia batal jadi tuan rumah Piala Dunia U-20 2023. 
Ia percaya Menteri BUMN itu bakal memberikan solusi terbaik.

#GueBarengErickThohir",,3,22,26,['https://pbs.twimg.com/media/Fs21zt8aMAEVP_s?format=jpg&name=900x900'],https://twitter.com/miicies/status/1643169348645953536
Joshua.,@svthjosh,2023-04-04T06:21:06.000Z,"Joshua.
@svthjosh
·
Apr 4",Mari kita block sofnyoung dari dunia ini.,,4,,1,['https://pbs.twimg.com/media/Fs2YBS8acAUunHe?format=jpg&name=small'],https://twitter.com/svthjosh/status/1643136595057610752
#WenyeNchiWananchi,@KatibaMpyaTz_,2023-04-04T11:30:26.000Z,"#WenyeNchiWananchi
@KatibaMpyaTz_
·
Apr 4","“Tuna viongozi ambao wanatujeuria, watu wanapotea na kutekwa na hawawajibiki kusema chochote kwa kuwa hakuna katiba inayowasukuma kuwajibika” — 
@kisuda_adam
 #KatibaMpya #WenyeNchiWananchi VIDEO : https://bit.ly/3JDWJCf",,,25,4,['https://pbs.twimg.com/media/Fs3e0prXsAIHJwN?format=jpg&name=small'],https://twitter.com/KatibaMpyaTz_/status/1643214438391005185
Rakau Brilliwan,@reservoirism,2023-04-04T10:31:05.000Z,"Rakau Brilliwan
@reservoirism
·
Apr 4","Took this Photo in February, clearly my favorite people since i enter university

For 5 Cm, i will try my best to enjoy the little spare time we had

For GreenHouse Petrol, i will try my best for us to work together again. Semoga ketemu di dunia kerja ",🙏 🙏,,,,"['https://pbs.twimg.com/media/Fs3ROrTaEAAE3jX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Fs3RPF4akAEh0yH?format=jpg&name=360x360']",https://twitter.com/reservoirism/status/1643199504001417219
vin ,@terbucinz,2023-04-04T09:02:57.000Z,"vin 
@terbucinz
·
Apr 4","Seperti diketahui Indonesia kini tengah dihadapkan dengan ancaman sanksi dari FIFA setelah pencabutan status tuan rumah Piala Dunia U-20.
Kami pun optimistis Pak 
@erickthohir
 mampu kembali menyelamatkan dunia sepak bola Indonesia. 

#GueBarengErickThohir",,3,23,27,['https://pbs.twimg.com/media/Fs29D8LagAATwOK?format=jpg&name=900x900'],https://twitter.com/terbucinz/status/1643177323951460352
ZeeMotion,@ZeeMotionID,2023-04-04T07:07:41.000Z,"ZeeMotion
@ZeeMotionID
·
Apr 4","Sihir pesonamu mampu mengajak orang-orang untuk ikut bersamamu menuju ke Dunia Flora. 

Selamat ulang tahun, 
@S_FloraJKT48
! 

Simsalabim! Kebahagiaan akan senantiasa hadir di dalam setiap langkahmu! 
#18elovedFlora",🌼 ✨ ✨ 🥳,15,49,669,['https://pbs.twimg.com/media/Fs2ir-XagAAsuPl?format=jpg&name=small'],https://twitter.com/ZeeMotionID/status/1643148317885607936
Parwati,@parwatyRizky,2023-04-04T12:13:50.000Z,"Parwati
@parwatyRizky
·
Apr 4","Ketua umum PSSI 
@erickthohir
 akan menjaga amanah yg dititipkan Presiden, seusai FIFA membatalkan Piala Dunia U-20. rencana akan menghadiri undangan FIFA Council dalam waktu dekat, ET akan berusaha semaksimal mungkin agar Indonesia tidak dikucilkan  FIFA.
#GueBarengErickThohir",💕 🌂,2,14,17,['https://pbs.twimg.com/media/Fs3owhAaAAAkjt9?format=jpg&name=900x900'],https://twitter.com/parwatyRizky/status/1643225363336814592
BU LURAH Idaman Warga,@serakyut,2023-04-04T05:02:28.000Z,"BU LURAH Idaman Warga
@serakyut
·
Apr 4","Terkait batalnya Piala Dunia U-20 di Indonesia, Pak 
@erickthohir
 ingin berfokus pd proses lobi ke FIFA agar Indonesia tak dijerat sanksi. Beliau enggan berpikir terlalu jauh soal bidding Tuan Rumah Piala Dunia 2034. Hadapi apa yg saat ini ada di depan mata.
#GueBarengErickThohir",💅,,8,9,['https://pbs.twimg.com/media/Fs2GBwUaYAAwfIw?format=jpg&name=900x900'],https://twitter.com/serakyut/status/1643116806599770113
Nakula,@03__nakula,2023-04-04T02:07:20.000Z,"Nakula
@03__nakula
·
Apr 4","Bos Kalteng Putra, Agustiar Sabran yakin ketum PSSI Erick Thohir punya solusi.
FIFA mencoret PERU.
Kita doakan pak Erick Thohir berhasil membebaskan sepak bola Indonesia sanksi FIFA dan berhasil melobi FIFA agar piala dunia U-17 dipindahkan ke Indonesia.
#GueBarengErickThohir",,3,25,47,['https://pbs.twimg.com/media/Fs1d8OeaUAAbjYC?format=jpg&name=900x900'],https://twitter.com/03__nakula/status/1643072730894565376
Chaterine,@chaterine_8,2023-04-04T20:09:54.000Z,"Chaterine
@chaterine_8
·
Apr 4","Utk menjaga amanah Presiden Jokowi, 
@erickthohir
 berupaya melobi FIFA agar Indonesia tidak terkena sanksi berat FIFA & tidak terkucil di dunia sepakbola internasional

#GueBarengErickThohir",,5,27,30,['https://pbs.twimg.com/media/Fs5VuODaUAEoY32?format=jpg&name=900x900'],https://twitter.com/chaterine_8/status/1643345169037811712
@RAMAmesagge,@RAMAmesagge,2023-04-04T02:21:04.000Z,"@RAMAmesagge
@ay9752874
·
Apr 4",Good morning dunia,,,,1,['https://pbs.twimg.com/media/Fs1hFVEaEAAnLBD?format=jpg&name=small'],https://twitter.com/ay9752874/status/1643076186753601536
shabani kajala,@KajalaShabani,2023-04-04T08:32:01.000Z,"shabani kajala
@KajalaShabani
·
Apr 4","Replying to 
@Simon_Machibya",,2,,,['https://pbs.twimg.com/media/Fs21_E5aMAA1tLn?format=jpg&name=small'],https://twitter.com/KajalaShabani/status/1643169537506828290
🅺🅽🅴🅽🅶,@Nikiae111,2023-04-04T23:30:00.000Z,"🅺🅽🅴🅽🅶
@Nikiae111
·
Apr 5","LOBI FIFA

Ketum PSSI 
@erickthohir
 ingin fokus lobi FIFA, dengan berat hati fokus penyelesaian agar tdk kena sanksi dulu. Bidding Piala Dunia 2034 belum jadi prioritas saat ini

#GueBarengErickThohir",🅾,,10,11,['https://pbs.twimg.com/media/Fs53NKjaIAAMalk?format=jpg&name=900x900'],https://twitter.com/Nikiae111/status/1643395525893341184
Lee Makwiny..,@TonyOkello9,2023-04-04T10:33:33.000Z,"Lee Makwiny..
@TonyOkello9
·
Apr 4","Someone is threatening my senator ati..""you are a one term senator""bwana kwendeni huko in the last general elections over 700k electorate from nyanza dint vote..alafu hao wenye hawakupiga kura ndo wanatisha watu.. bwana you can't threaten us.
@ProfOjiendaTom",,,,,['https://pbs.twimg.com/media/Fs3RzbEX0AAvfea?format=jpg&name=240x240'],https://twitter.com/TonyOkello9/status/1643200122765860864
Nuunajan | anggunly mode,@akunuuna,2023-04-04T10:33:44.000Z,"Nuunajan | anggunly mode
@akunuuna
·
Apr 4","Ga usah billboard dehh nih plakat nya cuman ada 2 di dunia, plakat sokor masa tetep kudu ngesott

Punya kagak klen 21 pandom????",💫,8,32,108,[],https://twitter.com/akunuuna/status/1643200169821995008
Arijaalk,@ArijaalKaamil,2023-04-04T12:24:46.000Z,"Arijaalk
@ArijaalKaamil
·
Apr 4","Huwezi amini jamaa amepata type yake  
Lakini Kuna watu watamtombe****a na kumuachanisha ",🤔 😂 😂 👐,11,3,51,[],https://twitter.com/ArijaalKaamil/status/1643228113713627137
Dotto Luguga,@luguga_jr,2023-04-12T09:11:28.000Z,"Dotto Luguga
@luguga_jr
·
22h","Kilimo sio kazi ya Watu walioishia darasa la Saba, kilimo ni kazi , kilimo ni ajira, kilimo ni maisha. Kilimo ni biashara
Ifike mahala jamii iamke iachane na hii dhana ya mkoloni ya kua Kilimo ni adhabu na ni Cha watu walio shindwa maisha
@MalemboLE
 @tzagriculture",🍀,,4,11,['https://pbs.twimg.com/media/FtgLudDWwAAMSHA?format=jpg&name=small'],https://twitter.com/luguga_jr/status/1646078572459696130
abinala.,@emangabin,2023-04-04T11:43:45.000Z,"abinala.
@emangabin
·
Apr 4","Dadah dunia, mau bulan madu.",,1,,,['https://pbs.twimg.com/media/Fs3h37YaMAAs9ak?format=jpg&name=small'],https://twitter.com/emangabin/status/1643217792274145286
Odyssey to the Far East,@motherlander,2023-04-04T11:31:20.000Z,"Odyssey to the Far East
@motherlander
·
Apr 4","'Keris Dong Son', salah satu artefak budaya perunggu yang berhasil dikumpulkan Theodor Verhoeven dari Lia Pike, di kaki 
gunung Inelika, Bajawa. Menariknya, sekitar 200 km arah timur dari Lia Pike terdapat gambar cadas keris perunggu di 
Watu Weti (gambar batu), Nua Mbako",,1,18,67,['https://pbs.twimg.com/media/Fs3e_0paQAAfXlD?format=jpg&name=small'],https://twitter.com/motherlander/status/1643214664866893826
aoi,@Yoojiiinn,2023-04-04T07:47:46.000Z,"aoi
@Yoojiiinn
·
Apr 4",Ga ngerti lagi sama dunia per es es an ,😭 😭,1,,2,['https://pbs.twimg.com/media/Fs2r296aMAEy12H?format=jpg&name=900x900'],https://twitter.com/Yoojiiinn/status/1643158402913411073
bulan,@omitmenot,2023-04-04T03:38:27.000Z,"bulan
@omitmenot
·
Apr 4",Punya sugar daddy di dunia Genshin Impact.,🌙,3,1,,['https://pbs.twimg.com/media/Fs1yyixaYAAApAS?format=jpg&name=small'],https://twitter.com/omitmenot/status/1643095662136029184
BU LURAH Idaman Warga,@serakyut,2023-04-04T04:40:57.000Z,"BU LURAH Idaman Warga
@serakyut
·
Apr 4","Ketua Umum PSSI 
@erickthohir
 beberkan alasan FIFA terkait pembatalan Indonesia sbg Tuan Rumah Piala Dunia U-20. Salah satu di antaranya adalah FIFA melihat segala keberatan dari berbagai pihak sebagai satu intervensi.
#GueBarengErickThohir",💅,,14,17,['https://pbs.twimg.com/media/Fs2BGiJagAIKm0i?format=jpg&name=900x900'],https://twitter.com/serakyut/status/1643111391547789312
Patrick Ole Sosopi,@PatricOleSosopi,2023-04-13T05:20:54.000Z,"Patrick Ole Sosopi
@PatricOleSosopi
·
1h","Kunapokuwa na uzimwaji wa internet mara nyingi inatokana na joto la kisiasa , haki za binadamu au demokrasia, ikiwa  ni mbinu ambayo serikali inatumia kuwanyima watu haki zao katika maeneo mbalimbali.  #InternetIsLife #MaishaNiMtandao #KatibaMpya",,,7,1,['https://pbs.twimg.com/media/FtkgisIX0AIw0JE?format=jpg&name=small'],https://twitter.com/PatricOleSosopi/status/1646382933056290816
Yoel || Vote Park Hanbin!!,@parwkhanbin,2023-04-04T01:23:41.000Z,"Yoel || Vote Park Hanbin!!
@parwkhanbin
·
Apr 4",dunia milik berdua yang lain ngontrak,,1,,,['https://pbs.twimg.com/media/Fs1T8vxaYAEX5zO?format=jpg&name=small'],https://twitter.com/parwkhanbin/status/1643061744364048384
Aliebaba97,@Baba97Alie,2023-04-04T14:20:56.000Z,"Aliebaba97
@Baba97Alie
·
Apr 4","Ketum PSSI 
@erickthohir
 bakal kembali bertemu FIFA dlm waktu dekat. Pertemuan tersebut utk membahas soal sanksi FIFA usai batalnya Indonesia menjadi tuan rumah Piala Dunia U-20 2023. PSSI berharap Indonesia dpt terhindar dari sanksi berat yakni pembekuan. 

#GueBarengErickThohir",,,6,8,['https://pbs.twimg.com/media/Fs4F2MwaAAEpBIv?format=jpg&name=900x900'],https://twitter.com/Baba97Alie/status/1643257345890476032
BU LURAH Idaman Warga,@serakyut,2023-04-04T04:43:31.000Z,"BU LURAH Idaman Warga
@serakyut
·
Apr 4","KNPI tetap mengapresiasi Ketum PSSI 
@erickthohir
 meski gelaran Piala Dunia U-20 di Indonesia batal. Pak Erick menegaskan adanya keberpihakan beliau thd masa depan dan mimpi jutaan anak muda Indonesia sbg pemain sepakbola. 
#GueBarengErickThohir",💅,,9,10,['https://pbs.twimg.com/media/Fs2BsDyaEAA02R3?format=jpg&name=900x900'],https://twitter.com/serakyut/status/1643112035520221185
Popon,@Mpon_Mponn,2023-04-04T03:12:17.000Z,"Popon
@Mpon_Mponn
·
Apr 4","Nyatanya Pak 
@erickthohir
 masih terus berjuang utk menghindarkan Indonesia dr sanksi FIFA. 
Ia akan selalu menjaga dan menjalankan amanah dr Presiden Jokowi untuk membuat Indonesia tak dikucilkan persebakbolaan dunia.

#GueBarengErickThohir",,,22,25,['https://pbs.twimg.com/media/Fs1szKRaUAExKXV?format=jpg&name=900x900'],https://twitter.com/Mpon_Mponn/status/1643089076181147649
pejuang indo,@indo_pejuang,2023-04-04T01:53:55.000Z,"pejuang indo
@indo_pejuang
·
Apr 4",indonesia tidak mentoleransi penjanjahan diatas dunia,,1,3,1,['https://pbs.twimg.com/media/Fs1az-qaEAQsxwj?format=png&name=small'],https://twitter.com/indo_pejuang/status/1643069353758457856
Alexander,@AlesandroJR,2023-04-07T10:19:31.000Z,"Alexander
@AlesandroJR
·
Apr 7","Wanawake wa Israeli Musilie kwa sababu hiyo Muwalilie hao kwa dhambi Upanga, upanga ni juu yao.

KITUO CHA VIII.
Akina mama wanamlilia Yesu.

•Ee Masiha tunakuabudu tunakushukuru, Kwani umewakomboa watu kwa Msalaba wako Mtakatifu.

Asanteni sana akina mama kwa moyo wenu wa…",,,4,43,['https://pbs.twimg.com/media/FtGrWwQXwAEWsLs?format=jpg&name=small'],https://twitter.com/AlesandroJR/status/1644283757254279168
Kyla,@xi157cm,2023-04-04T19:59:33.000Z,"Kyla
@xi157cm
·
Apr 4","Ambisi Erick Thohir telah menyebabkan keributan besar di Indonesia.

Sejak awal memang sebenarnya Indonesia itu tidak mampu untuk menggelar event sebesar Piala Dunia, dan pak de yang mempunyai ambisi besar untuk mencetak sejarah baru, tertenggalamkan oleh Erick.",,29,30,34,[],https://twitter.com/xi157cm/status/1643342564605726720
Jensen,@ukonachwani,2023-04-04T15:43:56.000Z,"Jensen
@ukonachwani
·
Apr 4",This is a fucking man  pretending to be a woman. Majuu watu wamechizi,👾,,,,['https://pbs.twimg.com/media/Fs4Y2JdWYAAHYs3?format=jpg&name=small'],https://twitter.com/ukonachwani/status/1643278235638153222
Morant^♧,@Xklobb_,2023-04-13T06:47:32.000Z,"Morant^♧
@Xklobb_
·
25m","""Toka nje sisi ni watu wakubwa hatuezi iba""",😂 💀 💔,3,10,14,[],https://twitter.com/Xklobb_/status/1646404736000700417
Farhan Kihamu Jr,@FKihamu,2023-04-13T05:55:06.000Z,"Farhan Kihamu Jr
@FKihamu
·
1h","Miaka miwili na miezi tisa, Alhamdulillah Mwamba asubuhi kuamshana ni vita ya tatu ya dunia. 

Machi 10, 2023 hii picha.",😀,32,20,798,[],https://twitter.com/FKihamu/status/1646391541143941120
Jebra Kambole,@Advocate_Jebra,2023-04-13T03:40:18.000Z,"Jebra Kambole
@Advocate_Jebra
·
3h","Report Ya CAG ni ushahidi tosha wa wizi na ubadhilifu wa mali ya umma! DPP na PCCB wanapaswa kuchukua hatua za kisheria! Wasipochukua Mimi na Wanasheria wengine tutachukua hatua za kisheria dhidi ya watu hao,tunatambua wajibu wetu wa kulinda mali ya umma chini ya art 27 ya Katiba",,28,70,207,[],https://twitter.com/Advocate_Jebra/status/1646357616417808385
MTANZANIA ❁,@GilbertPaul95,2023-04-13T06:39:53.000Z,"MTANZANIA ❁
@GilbertPaul95
·
33m","Uzi
Watu maarufu katika soka, ambao ni ndugu wa damu.


Diego simeone na Giovann Simeone, Diego yeye ni kocha wa Athletico madrid Wakati mwanaye Giovanni ni mshambuliaji hatari wa Napoli",👇 👇 👇 👇 👇 👇 👇,4,14,28,[],https://twitter.com/GilbertPaul95/status/1646402810253127681
wani || TDS2inKL letsgaurr,@jjaewoani,2023-04-06T15:46:58.000Z,"wani || TDS2inKL letsgaurr
@jjaewoani
·
Apr 6",not only malaysia and singapore got robbed. but philippines too? damn yall really want to jelajah satu dunia don’t you? selfish af #TDSinKL #TDS2inKl,🤍 💚,25,516,"1,291",[],https://twitter.com/jjaewoani/status/1644003775471030273
Farhan Kihamu Jr,@FKihamu,2023-04-13T05:55:06.000Z,"Farhan Kihamu Jr
@FKihamu
·
1h","Miaka miwili na miezi tisa, Alhamdulillah Mwamba asubuhi kuamshana ni vita ya tatu ya dunia. 

Machi 10, 2023 hii picha.",😀,32,20,799,[],https://twitter.com/FKihamu/status/1646391541143941120
Jebra Kambole,@Advocate_Jebra,2023-04-13T03:40:18.000Z,"Jebra Kambole
@Advocate_Jebra
·
3h","Report Ya CAG ni ushahidi tosha wa wizi na ubadhilifu wa mali ya umma! DPP na PCCB wanapaswa kuchukua hatua za kisheria! Wasipochukua Mimi na Wanasheria wengine tutachukua hatua za kisheria dhidi ya watu hao,tunatambua wajibu wetu wa kulinda mali ya umma chini ya art 27 ya Katiba",,28,70,208,[],https://twitter.com/Advocate_Jebra/status/1646357616417808385
nadine ♡,@adliyanadine,2023-04-09T11:00:52.000Z,"nadine ♡
@adliyanadine
·
Apr 9","Green tea paling sedap di dunia 

I rasa semua orang tau green tea chatramue ni sedap gila. Tapi tak semua pandai buat bagi sedap macam beli dekat Thai kan? Jom I share cara I buat.",,38,"4,484",10.3K,[],https://twitter.com/adliyanadine/status/1645018938311577600
Morant^♧,@Xklobb_,2023-04-13T06:47:32.000Z,"Morant^♧
@Xklobb_
·
26m","""Toka nje sisi ni watu wakubwa hatuezi iba""",😂 💀 💔,3,10,14,[],https://twitter.com/Xklobb_/status/1646404736000700417
